2021-07-19-10,75,Memories,Maroon 5,JORDI (Deluxe),32055419,2019.09.20,POP,284,171069
2021-07-19-10,76,Way Back Home (2021),런치,Way Back Home (2021),33643253,2021.07.04,일렉트로니카,89,13138
2021-07-19-10,77,오늘도 빛나는 너에게 (To You My Light) (Feat.이라온),마크툽 (MAKTUB),Red Moon : To You My Light,31853557,2019.06.09,R&B/Soul_ 인디음악,1058,240948
2021-07-19-10,78,살짝 설렜어 (Nonstop),오마이걸 (OH MY GIRL),NONSTOP,32559781,2020.04.27,댄스,11002,180522
2021-07-19-10,79,체념,MSG워너비(정상동기),MSG워너비 TOP 8 경연곡,33510308,2021.05.22,발라드,204,21833
2021-07-19-10,80,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡,32508053,2020.04.03,성인가요,4835,132135
2021-07-19-10,81,한여름밤의 꿀 : 다시 여름,San E,한여름밤의 꿀 : 다시 여름 (TEN PROJECT Part.3),33646995,2021.07.05,랩/힙합,117,13911
2021-07-19-10,82,사실 나는 (Feat.전건호),경서예지,사실 나는,32525311,2020.04.12,발라드,248,77580
2021-07-19-10,83,늦은 밤 너의 집 앞 골목길에서,노을,늦은 밤 너의 집 앞 골목길에서,32156286,2019.11.07,발라드,1543,183430
2021-07-19-10,84,추적이는 여름 비가 되어,장범준,장범준 싱글,33571535,2021.06.11,발라드,187,23373
2021-07-19-10,85,그냥 안아달란 말야,다비치,그냥 안아달란 말야,33405149,2021.04.12,발라드,181,39289
2021-07-19-10,86,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM),33229299,2021.01.24,발라드,183,70887
2021-07-19-10,87,How You Like That,BLACKPINK,How You Like That,32720013,2020.06.26,댄스,4188,181148
2021-07-19-10,88,Dance Monkey,Tones And I,The Kids Are Coming,31979846,2019.08.09,POP,426,160247
2021-07-19-10,89,힘든 건 사랑이 아니다,임창정,힘든 건 사랑이 아니다,32998018,2020.10.19,발라드,767,106089
